PS C:\Users\abigo\Downloads> python trofeo_sniffer.py --live --filter 1

 ╔══════════════════════════════════════════════════╗
 ║  Trofeo LCD USB Protocol Analyzer               ║
 ║  github.com/Abigor-DIY/Open-Trofeo-LCD          ║
 ╚══════════════════════════════════════════════════╝

 USBPcapCMD: C:\Program Files\USBPcap\USBPcapCMD.exe
 Device:     \\.\USBPcap1
 Temp file:  C:\Users\abigo\AppData\Local\Temp\trofeo_live_19808.pcap
 Press Ctrl+C to stop capture and show summary.

 ✓ USBPcapCMD running (PID 24136)
 ✓ Capture started — interact with TRCC now!
     Change themes, load images, wait a few seconds between actions.
     Press Ctrl+C when done.

   Capturing... 289.1 MB

 Stopping capture...
 Analyzing capture (289.1 MB)...

      5.350s   FRAME  #87   1920×462 340,672B/329,487B 84ch buf=0(!=1) b9=0x99 38ms (16.1 FPS)
      5.414s   FRAME  #88   1920×462 338,640B/329,242B 83ch buf=0(!=2) b9=0x98 37ms (15.6 FPS)
      5.476s   FRAME  #89   1920×462 340,672B/330,325B 84ch buf=0 b9=0x9a 37ms (16.1 FPS)
      5.539s   FRAME  #90   1920×462 346,800B/336,267B 85ch buf=0(!=1) b9=0xa6 38ms (15.9 FPS)
      5.601s   FRAME  #91   1920×462 328,432B/325,397B 81ch buf=0(!=2) b9=0x91 38ms (16.1 FPS)
      5.663s   FRAME  #92   1920×462 340,672B/330,675B 84ch buf=0 b9=0x9b 38ms (16.2 FPS)
      5.725s   FRAME  #93   1920×462 338,640B/328,867B 83ch buf=0(!=1) b9=0x98 37ms (16.1 FPS)
      5.787s   FRAME  #94   1920×462 308,032B/326,367B 76ch buf=0(!=2) b9=0x92 37ms (16.1 FPS)
      5.851s   FRAME  #95   1920×462 332,512B/326,773B 82ch buf=0 b9=0x93 37ms (15.6 FPS)
      5.912s   FRAME  #96   1920×462 336,592B/326,498B 83ch buf=0(!=1) b9=0x93 38ms (16.5 FPS)
      5.976s   FRAME  #97   1920×462 336,592B/326,958B 83ch buf=0(!=2) b9=0x94 37ms (15.6 FPS)
      6.037s   FRAME  #98   1920×462 297,840B/327,664B 73ch buf=0 b9=0x95 38ms (16.4 FPS)
      6.101s   FRAME  #99   1920×462 338,640B/327,695B 83ch buf=0(!=1) b9=0x95 37ms (15.6 FPS)
      6.163s   FRAME  #100  1920×462 291,712B/326,970B 72ch buf=0(!=2) b9=0x94 37ms (16.1 FPS)
      6.226s   FRAME  #101  1920×462 334,560B/325,243B 82ch buf=0 b9=0x90 37ms (15.9 FPS)
      6.287s   FRAME  #102  1920×462 283,552B/326,282B 70ch buf=0(!=1) b9=0x92 37ms (16.4 FPS)
      6.349s   FRAME  #103  1920×462 312,112B/325,981B 77ch buf=0(!=2) b9=0x92 37ms (16.2 FPS)
      6.412s   FRAME  #104  1920×462 185,632B/326,318B 46ch buf=0 b9=0x92 38ms (15.9 FPS)
      6.474s   FRAME  #105  1920×462 285,600B/324,790B 70ch buf=0(!=1) b9=0x8f 36ms (16.1 FPS)
      6.537s   FRAME  #106  1920×462 248,880B/324,753B 61ch buf=0(!=2) b9=0x8f 37ms (15.9 FPS)
      6.600s   FRAME  #107  1920×462 257,040B/324,873B 63ch buf=0 b9=0x8f 37ms (15.8 FPS)
      6.663s   FRAME  #108  1920×462 334,560B/324,317B 82ch buf=0(!=1) b9=0x8e 36ms (15.9 FPS)
      6.724s   FRAME  #109  1920×462 334,560B/324,096B 82ch buf=0(!=2) b9=0x8e 37ms (16.4 FPS)
      6.767s   FRAME  #110  1920×462 334,560B/324,743B 82ch buf=0 b9=0x8f 37ms (23.3 FPS)
      6.828s   FRAME  #111  1920×462 308,032B/321,746B 76ch buf=0(!=1) b9=0x89 36ms (16.4 FPS)
      6.891s   FRAME  #112  1920×462 208,080B/320,845B 51ch buf=0(!=2) b9=0x87 37ms (15.9 FPS)
      6.932s   FRAME  #113  1920×462 330,480B/319,687B 81ch buf=0 b9=0x85 37ms (24.3 FPS)
      6.995s   FRAME  #114  1920×462 330,480B/321,076B 81ch buf=0(!=1) b9=0x88 37ms (15.9 FPS)
      7.058s   FRAME  #115  1920×462 330,480B/320,763B 81ch buf=0(!=2) b9=0x87 37ms (15.9 FPS)
      7.121s   FRAME  #116  1920×462 330,480B/319,961B 81ch buf=0 b9=0x86 36ms (15.9 FPS)
      7.182s   FRAME  #117  1920×462 326,400B/320,513B 80ch buf=0(!=1) b9=0x87 36ms (16.4 FPS)
      7.246s   FRAME  #118  1920×462 330,480B/320,447B 81ch buf=0(!=2) b9=0x87 36ms (15.6 FPS)
      7.307s   FRAME  #119  1920×462 330,480B/320,455B 81ch buf=0 b9=0x87 37ms (16.3 FPS)
      7.370s   FRAME  #120  1920×462 303,952B/321,756B 75ch buf=0(!=1) b9=0x89 37ms (15.9 FPS)
      7.433s   FRAME  #121  1920×462 210,112B/321,710B 52ch buf=0(!=2) b9=0x89 37ms (15.9 FPS)
      7.494s   FRAME  #122  1920×462 254,992B/322,100B 63ch buf=0 b9=0x8a 37ms (16.4 FPS)
      7.557s   FRAME  #123  1920×462 206,032B/330,831B 51ch buf=0(!=1) b9=0x9b 38ms (15.9 FPS)
      7.619s   FRAME  #124  1920×462 340,672B/330,154B 84ch buf=0(!=2) b9=0x9a 38ms (16.1 FPS)
      7.683s   FRAME  #125  1920×462 214,192B/329,900B 53ch buf=0 b9=0x9a 38ms (15.6 FPS)
      7.745s   FRAME  #126  1920×462 320,272B/326,536B 79ch buf=0(!=1) b9=0x93 37ms (16.2 FPS)
      7.808s   FRAME  #127  1920×462 301,920B/327,570B 74ch buf=0(!=2) b9=0x95 37ms (15.9 FPS)
      7.869s   FRAME  #128  1920×462 336,592B/326,646B 83ch buf=0 b9=0x93 38ms (16.4 FPS)
      7.931s   FRAME  #129  1920×462 330,480B/328,353B 81ch buf=0(!=1) b9=0x97 37ms (16.1 FPS)
      7.995s   FRAME  #130  1920×462 299,872B/326,052B 74ch buf=0(!=2) b9=0x92 37ms (15.6 FPS)
      8.056s   FRAME  #131  1920×462 336,592B/325,383B 83ch buf=0 b9=0x91 37ms (16.3 FPS)
      8.120s   FRAME  #132  1920×462 146,880B/324,918B 36ch buf=0(!=1) b9=0x90 37ms (15.7 FPS)
      8.182s   FRAME  #133  1920×462 334,560B/325,130B 82ch buf=0(!=2) b9=0x90 37ms (16.1 FPS)
      8.245s   FRAME  #134  1920×462 259,072B/327,078B 64ch buf=0 b9=0x94 38ms (15.9 FPS)
